Age,Income,Gender,Spending_Score,Purchase,Group_Label
58,67,0,60,1,7
48,74,1,2,1,4
34,42,0,1,0,3
27,43,1,48,1,3
40,56,1,12,0,4
58,54,1,69,1,7
38,63,1,37,1,4
42,59,0,32,0,5
30,41,1,9,1,3
30,46,0,99,1,6
43,54,0,19,1,4
55,20,0,48,1,6
59,54,0,80,1,8
43,56,1,3,0,4
22,66,0,20,1,2
41,33,0,24,0,4
21,22,0,54,1,4
43,20,1,33,0,5
49,24,1,24,0,4
57,45,1,75,1,8
21,74,1,72,1,4
40,33,0,36,1,5
52,58,0,38,0,6
31,46,1,84,1,6
41,28,0,99,0,7
44,34,0,89,0,7
46,34,0,99,0,7
47,45,1,25,1,5
35,61,1,93,1,6
34,79,0,18,0,3
22,32,1,82,0,5
56,70,1,66,1,7
26,51,1,54,0,4
40,58,1,35,1,5
28,68,1,80,0,5
58,71,0,61,1,7
37,51,1,41,0,4
23,23,0,100,1,6
44,49,0,33,0,5
33,56,1,68,1,5
28,42,0,33,1,3
45,58,0,14,0,4
21,64,0,21,0,2
39,34,1,48,1,4
47,62,1,20,0,4
26,48,0,8,1,2
27,55,1,7,0,2
54,32,1,67,1,7
33,51,1,17,1,3
36,26,1,33,1,4
55,78,0,48,1,6
59,70,0,76,1,8
23,41,1,59,1,4
21,47,1,86,0,5
25,21,0,22,0,2
23,61,0,30,0,3
48,64,1,38,1,5
37,76,0,51,1,5
45,72,1,54,1,6
53,25,1,8,1,5
29,47,0,27,0,3
55,47,0,27,0,6
33,63,1,98,1,6
50,63,1,21,0,5
34,39,0,30,0,4
27,49,1,97,1,5
33,30,0,28,0,4
42,77,1,64,1,6
59,74,0,97,0,8
40,47,0,69,1,6
35,44,0,61,1,5
37,58,1,48,1,4
43,52,1,19,1,4
45,20,0,4,0,4
44,76,1,35,1,5
48,46,0,64,1,6
34,76,0,49,1,4
20,71,1,17,0,2
44,32,1,44,1,5
26,60,0,92,0,5
28,22,1,30,1,3
43,58,1,93,0,7
20,25,0,46,0,3
27,27,0,6,1,2
43,46,1,99,0,7
30,28,0,37,1,4
36,56,0,24,1,3
27,52,1,93,1,5
54,70,0,46,0,6
54,61,0,53,0,7
52,63,1,95,1,8
24,43,1,99,1,5
58,34,0,60,0,7
47,78,0,97,1,7
26,73,1,63,1,4
28,51,1,85,1,5
27,51,1,32,0,3
31,43,1,87,0,6
53,60,0,33,0,6
52,71,1,67,1,7
